"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-01-01","10.07",,"0.42","0.0","0.0","48","52","45","  220","  220","23.0","30.0","    1",
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-01-02","16.11",,"1.71","0.0","0.0","48","49","41","  170","  180","28.0","36.0","    1",
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-01-03","10.07",,"0.44","0.0","0.0","44","48","38","  110","  220","21.0","25.9","    1",
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-01-04","13.65",,"0.39","0.0","0.0","47","51","43","  240","  100","23.9","31.1","    1",
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-01-05","10.29",,"0.66","0.0","0.0","44","47","42","  180","  180","23.9","32.0","    1",
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-01-06","6.04",,"0.19","0.0","0.0","46","52","39","  170","  170","19.9","25.1","    1","    1"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-01-07","7.61",,"0.00","0.0","0.0","44","52","40","  120","  100","19.9","25.9","    1","    1"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-01-08","4.92",,"0.22","0.0","0.0","47","51","37","  120","  100","21.0","25.9","    1",
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-01-09","4.70",,"0.00","0.0","0.0","39","48","31","  120","  110","18.1","23.0","    1","    1"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-01-10","4.25",,"0.12","0.0","0.0","44","49","41","  150","  140","10.1","13.0","    1",
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-01-11","9.62",,"0.97","0.0","0.0","46","47","43","  140","  140","23.0","27.1","    1",
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-01-12","11.41",,"2.33","0.0","0.0","50","57","47","  230","  220","36.0","53.9","    1",
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-01-13","14.76",,"0.08","0.0",,"50","56","40","  220","  220","36.0","50.1","    1",
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-01-14","4.25"," 0601","0.05","0.0",,"44","58","38","  120","   20","12.1","15.0","    1",
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-01-15","4.03",,"0.11","0.0","0.0","48","54","42","  110","  120","15.0","18.1","    1",
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-01-16","2.91",,"0.00","0.0","0.0","44","47","38","  160","  120","8.9","12.1","    1",
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-01-17","5.59",,"0.04","0.0","0.0","45","51","43","  190","  170","15.0","19.0","    1",
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-01-18","7.83"," 0906","0.00","0.0","0.0","45","49","36","  360","   10","16.1","23.9","    1",
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-01-19",,,"0.00","0.0",,"40","45","34",,,,,,
